code,id,label,statement,subject,domain,minimumAge,maximumAge,competencyType,evidenceExpectationCount,alignmentCount,reviewStatus,sourceId,sourceReferenceId,sourceUri
ASFAI-SCI-D936944840,https://education.asfai.org/objectives/9feaba76-dcfd-5100-99c9-ba1cc187e973,Volume & Vibrations,Demonstrate the “Volume & Vibrations” objective: Find patterns between the volume of a sound and the strength of the vibrations that produced it.,Science,"Waves, Light & Sound",8,9,CONCEPTUAL,3,1,unreviewed,mt__00ZSLnB7p,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__00ZSLnB7p,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-3CE2B5AB98,https://education.asfai.org/objectives/b58f3932-0f19-5097-8142-77aa01977b1d,Motors & the Motor Effect,"Demonstrate the “Motors & the Motor Effect” objective: Explain the motor effect as the force on a current-carrying conductor in a magnetic field, and describe how this principle is used in electric motors and loudspeakers.",Science,Forces & Motion,13,14,CONCEPTUAL,3,1,unreviewed,mt__7BVYUN180,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__7BVYUN180,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-3572F380EC,https://education.asfai.org/objectives/ca39504b-ccb1-5390-9433-fafe36e34761,How minibeasts move,"Demonstrate the “How minibeasts move” objective: How minibeasts move: crawling (ants, beetles), flying (butterflies, bees), slithering (worms, slugs), jumping (grasshoppers, fleas), burrowing (earthworms). Counting legs as a first step toward grouping creatures.",Science,Insects & Minibeasts,5,7,CONCEPTUAL,3,0,unreviewed,mt__7hXSTbu9s,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__7hXSTbu9s,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-LIF-4D4CB50790,https://education.asfai.org/objectives/cf4f1162-4de1-5e27-881c-1c526a1ec01f,Needs & Wants,"Demonstrate the “Needs & Wants” objective: The difference between things we need (food, shelter, clothing) and things we want (toys, treats); that we sometimes have to choose because money is limited.",Life Skills,Money & Finance,5,7,CONCEPTUAL,3,0,unreviewed,mt__ab4knIaSL,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__ab4knIaSL,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-D2E620225A,https://education.asfai.org/objectives/fa0a8449-6702-5b7a-9c65-0c2aa53681c6,Classifying Ocean Animals,"Demonstrate the “Classifying Ocean Animals” objective: Classify ocean animals into major groups: fish (breathe through gills, have scales), marine mammals (breathe air, warm-blooded, feed milk), and invertebrates (no backbone — jellyfish, octopuses, crabs, starfish).",Science,Ocean Life,7,9,CONCEPTUAL,3,0,unreviewed,mt__aHSZTm5k5,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__aHSZTm5k5,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-CMP-2A6BA2B065,https://education.asfai.org/objectives/af1d2fcb-d2e4-5e54-8107-f743b57fd225,AI and the Future of Work,"Demonstrate the “AI and the Future of Work” objective: How AI is changing the world of work: some jobs disappear, new ones are created, many change; jobs AI can't do (yet); what skills matter in an AI world.",Computing,Artificial Intelligence,9,11,CONCEPTUAL,3,0,unreviewed,mt__AWSThGJ0d,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__AWSThGJ0d,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-CMP-51C275324D,https://education.asfai.org/objectives/6bc510f4-658c-55d2-aa9e-2cdfcbf209e1,Bias in AI Systems,"Demonstrate the “Bias in AI Systems” objective: If training data is biased, AI will be biased; examples: facial recognition working better for some skin tones, translation assuming gender; where bias comes from and whether we can fix it.",Computing,Artificial Intelligence,9,11,CONCEPTUAL,3,0,unreviewed,mt__BbOjiY5A5,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__BbOjiY5A5,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-5EB0F26FCF,https://education.asfai.org/objectives/c4e5c28c-7f80-5797-945a-77cce6391c57,Sorting and Identifying Minibeasts,Demonstrate the “Sorting and Identifying Minibeasts” objective: Using classification keys to identify minibeasts. Branching yes/no questions: 'Does it have legs?' → 'How many legs?' → 'Does it have wings?' Dichotomous keys as a systematic tool for sorting and identifying creatures.,Science,Insects & Minibeasts,7,9,PROCEDURAL,3,0,unreviewed,mt__bhJX2SuFJ,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__bhJX2SuFJ,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-F8CDE6F4D4,https://education.asfai.org/objectives/00014545-bf41-5427-92b5-b4f4f40917a8,Decimal place value,Demonstrate the “Decimal place value” objective: Round decimals to any place using place-value understanding; round any whole number to a required degree of accuracy.,Mathematics,Number Representation & Place Value,10,11,PROCEDURAL,3,0,unreviewed,mt__casygEB85,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__casygEB85,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-ELA-18C0D801AD,https://education.asfai.org/objectives/8434b806-0d8e-56fb-977e-29d96f3f8069,Reading Inflectional Endings,"Demonstrate the “Reading Inflectional Endings” objective: Read words containing taught GPCs with common inflectional endings (-s, -es, -ing, -ed, -er, -est) and the prefix un-; read multi-syllable words with taught patterns.",English,Phonics & Word Reading,5,7,PROCEDURAL,3,0,unreviewed,mt__CMXZiPfTV,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__CMXZiPfTV,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-3BBB78315F,https://education.asfai.org/objectives/690dc230-487d-539d-a233-8be0069006f8,Threats to insects and conservation,"Demonstrate the “Threats to insects and conservation” objective: Threats to insects and conservation: insect populations are declining worldwide. Causes include habitat loss, pesticide use, light pollution disrupting nocturnal insects, and climate change. Pollinator decline threatens food production. What children can do: plant pollinator-friendly gardens, reduce pesticide use, participate in citizen science like the Big Butterfly Count.",Science,Insects & Minibeasts,9,11,CONCEPTUAL,3,0,unreviewed,mt__EL7DHjf5R,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__EL7DHjf5R,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-1F485D8152,https://education.asfai.org/objectives/19744b75-c196-57b0-be23-47e139d86928,Comparing groups: more or fewer,"Demonstrate the “Comparing groups: more or fewer” objective: Compare two groups of objects to determine which has more, fewer, or whether they are equal, using matching and counting strategies.",Mathematics,Counting & Cardinality,4,6,CONCEPTUAL,3,2,unreviewed,mt__h7hvT4tEb,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__h7hvT4tEb,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-39DEE8D68A,https://education.asfai.org/objectives/5df5978b-8d8d-5550-bb98-20af156310bd,Using Mathematical Structure,"Demonstrate the “Using Mathematical Structure” objective: Look for and use mathematical structure: exploit place-value patterns for ×10/×100, use the distributive property to break apart multiplications, apply fraction equivalence to compare and compute, use shape properties to classify quadrilaterals.",Mathematics,Mathematical Thinking,8,9,META,3,0,unreviewed,mt__Itf4aQZUj,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__Itf4aQZUj,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-PSD-1FC875EF3C,https://education.asfai.org/objectives/9d04f441-fbce-5cff-9296-2fc62ede8dda,Growth Through Adversity,"Demonstrate the “Growth Through Adversity” objective: Understand that facing serious challenges can lead to genuine growth in three domains: new perspectives on life, improved relationships, and a strengthened sense of personal capability (post-traumatic growth); distinguish genuine growth from toxic positivity ('everything happens for a reason') and from denial; understand that resilience does not mean being unaffected by adversity but recovering and growing through it; develop a personal philosophy for handling setbacks based on meaning-making; explore how to support others going through serious difficulty without minimising their experience.",Personal & Social Development,Self-Regulation & Resilience,13,14,META,0,0,unreviewed,mt__J2BO4V95l,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__J2BO4V95l,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-SCI-AAC6B610CE,https://education.asfai.org/objectives/a8b54a9f-af88-5ecf-bd42-d2b433996201,Seismic Waves & Earth's Interior,"Demonstrate the “Seismic Waves & Earth's Interior” objective: Distinguish between P-waves (compression, travel through solids and liquids) and S-waves (shear, cannot pass through liquids); explain why a seismic shadow zone exists on the far side of an earthquake; describe how seismologists use wave refraction and reflection to infer that Earth has a solid inner core, liquid outer core, mantle, and crust.",Science,Volcanoes & Earthquakes,11,13,CONCEPTUAL,0,0,unreviewed,mt__kFxuAgs6d,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__kFxuAgs6d,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-ELA-1E8B6836E5,https://education.asfai.org/objectives/75f80d54-4e15-53a0-a73a-ab0d1c47d69a,Blending Sounds to Read Words,Demonstrate the “Blending Sounds to Read Words” objective: Apply phonic knowledge to blend sounds in unfamiliar words containing taught grapheme-phoneme correspondences; respond speedily to graphemes for all 40+ phonemes.,English,Phonics & Word Reading,4,7,PROCEDURAL,3,6,unreviewed,mt__KHQttMde3,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__KHQttMde3,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-CMP-18C327E3BB,https://education.asfai.org/objectives/d4d1a542-4474-504e-95dd-6c35ff9db8b2,The Future of AI,"Demonstrate the “The Future of AI” objective: What AI might do in 10 years; what we want it to do and what we're worried about; children as future designers and decision-makers about AI; hopeful, empowered framing.",Computing,Artificial Intelligence,9,11,CONCEPTUAL,3,0,unreviewed,mt__LiAEHt9nk,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__LiAEHt9nk,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-ELA-19BBA72EDD,https://education.asfai.org/objectives/77ffcc1f-44c9-58cd-a907-a5d80a08decd,Writing to inform,"Demonstrate the “Writing to inform” objective: Compose informative or explanatory texts using drawing, dictating, or writing that name a topic and supply some information about it.",English,Writing Composition,5,7,PROCEDURAL,3,0,unreviewed,mt__MDiDU9Vck,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__MDiDU9Vck,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-MAT-E89D318D2F,https://education.asfai.org/objectives/ada3f37b-ca70-5ef2-b570-3df354e5fd3a,Telling time to the minute,"Demonstrate the “Telling time to the minute” objective: Measure and begin to record time in hours, minutes, and seconds.",Mathematics,Measurement,5,6,PROCEDURAL,3,1,unreviewed,mt__N55B7u7HD,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__N55B7u7HD,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-HIS-F8E33A8916,https://education.asfai.org/objectives/2fb345d8-b8f1-524c-9b49-759b8ff9ba0c,Fall of the Roman Republic,"Demonstrate the “Fall of the Roman Republic” objective: Trace how Roman political violence — the murder of the Gracchi brothers, civil wars between Marius and Sulla, Caesar's crossing of the Rubicon and assassination on the Ides of March, and the final war between Octavian and Antony — destroyed the Republic and led to one-man rule under Augustus, and debate whether the fall of the Republic was inevitable or a series of choices.",History,Ancient Greece & Rome,12,14,CONCEPTUAL,3,0,unreviewed,mt__o3TCmfomv,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__o3TCmfomv,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
ASFAI-CMP-1284F102B4,https://education.asfai.org/objectives/8ebf6ce8-fc76-5f05-bc80-cf8e81ecead3,Step-by-Step Instructions,"Demonstrate the “Step-by-Step Instructions” objective: Step-by-step instructions for everyday tasks (making a sandwich, brushing teeth); that if instructions are wrong or missing, things go wrong; computers follow instructions exactly.",Computing,Artificial Intelligence,5,7,CONCEPTUAL,3,0,unreviewed,mt__p5n8z5soJ,https://education.asfai.org/sources/marble/releases/1.0.0/topics/mt__p5n8z5soJ,https://github.com/withmarbleapp/os-taxonomy/blob/96a7933754af672e1bfdbf7ecb05c325860c6e0d/data/topics.json
